DiMa для умных и современных, https://vk.com/dimaforthebest
Ein mal pro Woche, https://vk.com/einmalprowoche
Lost in translation, https://vk.com/club216196128
Адаптация, https://vk.com/hrnaya
АрифметИкс, https://t.me/arifmetX
Базовая математика, https://vk.com/bmaths2022
Базовая экономика, https://vk.com/bazek
Горы и конфеты, https://vk.com/gorikonfety
Дизгра, https://vk.com/desgra
Династия, https://vk.com/dinasty_23
Дискретная математика, https://vk.com/dm2223
Жулик не воруй, https://t.me/znv35
Изолента Мёбиуса, https://vk.com/mebius_tape
Инглиш, https://t.me/+pmZ58NMFSO5hZWZk
История экономической мысли (ИсЭМ), https://vk.me/join/AJQ1dyYfdyM93lNaB70mR7nG
Климатика, https://t.me/klimatika2223
Локи vs Рагнарёк, https://vk.com/club216205318
Математика ПО, https://t.me/+i5PBXY9C40plMDgy
Матрица, https://t.me/+QvqXwQKeFQY5MDM6
На наших глазах, https://vk.com/beforeoureyes
Набирая обороты, https://vk.com/nabiraya_oboroty_2022
Не геометр да не войдёт!, https://t.me/+BY5ypKRm3AZlM2My
Песни без слов, https://t.me/pesnyabezslovemsh
Планета Земля, https://vk.me/join/AJQ1d5yvTSNaQzr3QDEeqhXa
Плохому кадру рамки мешают, https://vk.com/ramki_emsch
Правила игры, https://vk.com/gamerulesemsch
Право имею, https://t.me/+B1b8kAmnAjA4MzNi
Прямая и точка, https://vk.com/pramaya_i_tochka_2022
Слово за слово, https://vk.com/slovozaslovo22
Снаружи всех измерений (перезапуск), https://t.me/+DPGoZc-a5NNmMDky
СЧЕВО, https://vk.com/schevo202223
Теория Игр, https://t.me/+xesKy1E_Xo83MTIy
Тессеракт, https://vk.com/tesser22
Тригонометрикс, https://vk.com/trigonometrics2223
Шаг вперёд, http://vk.com/club216229388
Экономания, http://vk.com/economaniya20222023
Экономический калейдоскоп, https://vk.com/club199207245
ЭМШАМБА: Ньюкономика Будущего, https://vk.com/newconomics
Юкатон, https://vk.com/club216238475
